제품명,평균_점수,총_점수
브이 코어텍틴 미스트,1.2918498965187344,134.3523892379484
펜타베리 판테놀 리페어 크림,1.2918484209109933,83.97014735921456
미라클세럼,1.291846468586154,131.7683397957877
병풀 스틱밤,1.291835433274773,60.71626536391433
마데카 프라임,1.2918200082856706,46.50552029828414
AC 솔루션 폼클렌저,1.2918187326305914,121.4309608672756
멀티 큐브 팔레트,1.291818528026672,116.2636675224005
콤부 밸런싱 앰플 토너,1.2917879412614484,124.01164236109904
톤핏선 쿠션 [SPF50+/PA++++],1.2917853685883895,67.17283916659626
네일 앤 큐티클 리페어 에센스,1.291771181198273,24.543652442767186
블룸 글로우 립 플럼퍼,1.2917568904517884,133.0509597165342
비건 뷰티 오일,1.2917443615579454,153.7175790253955
선미스트 플러스 캄 유브이 블럭 솔루션 [SPF50+/PA+++],1.2917409336755123,2.5834818673510247
리츄얼 샤워오일,1.2917245132838158,130.4641758416654
시그니처 바이오 시트 마스크,1.2916984745167037,98.16908406326948
스테이 릴렉스드 선쿠션 [SPF50/PA++++],1.2916914145993876,23.250445462788978
프리즈매틱 컬러 아이즈,1.291678513538647,99.45924554247583
애플민트 베러 루트 쿨링 스케일러,1.291669584956897,60.708470492974165
퍼펙트 올인원 밀크,1.2916693412169806,85.25017652032072
버치 셀룰라이트 오일,1.2916677666154293,24.541687565693156
리더스 퍼스트 샷 에센스 스틱 토닝 컨트롤,1.291665251866957,149.833169216567
그린 토마토 클레이 팩 클렌저,1.2916623036491242,98.16633507733343
아로마 릴렉싱 마사지 오일,1.2916489990354252,20.666383984566803
플렉스 드라이 샴푸,1.2916473122893295,3.8749419368679883
베이스젤,1.291637795022397,14.208015745246367
마데카소사이드 에센셜 마스크 흔적 리페어,1.2916264821547312,99.4552391259143
코어 클렌징 오일,1.2916118766884617,89.12121949150385
아이보들 수딩 젤,1.2916037573289405,72.32981041042066
쉬폰 소프트 왁스,1.2915944737776202,19.3739171066643
스틱 썬스크린 100 [SPF50+/PA++++],1.2915923171407933,123.99286244551615
마일드 클렌징 젤,1.2915864708309273,153.69879002888035
트러블 시카 바디 패치,1.2915818339409715,12.915818339409714
옴므 폼 클렌저,1.2915811426891257,6.457905713445629
스킨핏 프로그램,1.2915789887305669,126.57474089559555
스테이 헤어 워터 트리트먼트,1.2915682191163624,82.6603660234472
에어브러쉬 플로리스 피니쉬,1.2915631307890012,89.11785602444108
그린티 히알루론산 수분 선세럼 [SPF50+/PA++++],1.291562365310907,114.94905051267072
헬시피트 풋크림 튜브,1.2915539017217086,32.28884754304271
마다가스카르 센텔라 에어핏 선크림 플러스 [SPF50+/PA++++],1.2915520127735158,142.07072140508674
캐비지 수퍼 카밍9 앰플,1.2915235779543048,112.36255128202453
핏미 스킨 틴트,1.2915114044994755,111.0699807869549
아이보들 선 로션 [SPF50+/PA++++],1.2915087724184828,73.61600002785352
티트리 스칼프 워터 스케일러,1.2915081987350083,92.9885903089206
구아바 70 스킨 토너 진정 패드 팩,1.2915027592975172,81.36467383574359
윙크 선 베이스 [SPF50+/PA+++],1.2914649740358495,102.02573294883211
브이 코어텍틴 세럼 마스크팩,1.2914461303211802,125.27027464115449
워터칩 CC,1.2914390656345465,2.582878131269093
세라믹 바디 괄사,1.2914367162018512,21.95442417543147
더마 컬렉션 헬씨 수딩 모이스처라이징 마스크,1.2914329577630403,147.2233571849866
프레쉬 선쿠션 [SPF50+/PA++++],1.2914144947018789,7.748486968211274
올 어바웃 더 블러 인스턴트 블러링 스틱,1.2914067066054418,114.93519688788432
울트라 라이트 데일리 유브이 디펜스 아쿠아 젤 [SPF50+/PA++++],1.2914032220328044,59.404548213509
이지 헤어라이너,1.2914026220845,47.781897017126504
컴포트 미 모스 카밍 마스크,1.2913997293701514,153.67656779504802
전기 면도기 시리즈 3 3010s,1.2913850689042965,5.165540275617186
프로틴 클레이 클리닉 샴푸팩,1.2913742125845582,92.97894330608818
비스포크 에센스,1.2913718673547991,85.23054324541674
비건 스칼프 리프레싱 샴푸 바이 랩클,1.291367703869423,143.34181512950593
